seed,method,condition,alpha,auc_roc,f1_minority,avg_precision
42,Baseline,real_only,0.0,0.6189059220489386,0.0,0.013636204915036027
42,TabDDPM,augmented,0.1,0.5611333988681952,0.0,0.012357996345365168
42,TabDDPM,augmented,0.2,0.5190626743537288,0.0,0.010182715465627028
42,TabDDPM,augmented,0.3,0.5270065623422513,0.0,0.010641597123312564
42,TabDDPM,augmented,0.5,0.6035362257233189,0.0,0.01617081653993757
42,TabDDPM,augmented,1.0,0.5963760992587476,0.0,0.011959615392911866
123,Baseline,real_only,0.0,0.5465579100796053,0.06060606060606061,0.022175405417682606
123,TabDDPM,augmented,0.1,0.6013286242852338,0.0,0.018286039804364003
123,TabDDPM,augmented,0.2,0.5584987106177823,0.06060606060606061,0.020152516151711625
123,TabDDPM,augmented,0.3,0.5421571925103711,0.0,0.013192372326779441
123,TabDDPM,augmented,0.5,0.514407444780805,0.0,0.01244168874821304
123,TabDDPM,augmented,1.0,0.5554154053144971,0.0,0.01235176114063123
7,Baseline,real_only,0.0,0.6195996874712749,0.0,0.016951142268389435
7,TabDDPM,augmented,0.1,0.5800510157183565,0.0,0.01514263693477937
7,TabDDPM,augmented,0.2,0.5864739406195423,0.0,0.014090290318346705
7,TabDDPM,augmented,0.3,0.5415709164445262,0.0,0.012736553383356851
7,TabDDPM,augmented,0.5,0.5352514017832521,0.0,0.01429029403880912
7,TabDDPM,augmented,1.0,0.5820273003033367,0.0,0.016139660935212085
2024,Baseline,real_only,0.0,0.45032778618255176,0.0,0.007780097148912483
2024,TabDDPM,augmented,0.1,0.4199816083770876,0.0,0.007198394971355904
2024,TabDDPM,augmented,0.2,0.4387588620924921,0.0,0.007415406161828286
2024,TabDDPM,augmented,0.3,0.3892201358606983,0.0,0.0067818811758573235
2024,TabDDPM,augmented,0.5,0.38732164575361155,0.0,0.006849793489640619
2024,TabDDPM,augmented,1.0,0.37444750971492985,0.0,0.006661464126795364
999,Baseline,real_only,0.0,0.50236456866548,0.0,0.010278198017701178
999,TabDDPM,augmented,0.1,0.47450782433114586,0.0,0.008941993693337754
999,TabDDPM,augmented,0.2,0.45985546906134595,0.0,0.008832239066758988
999,TabDDPM,augmented,0.3,0.509697388347193,0.0,0.010112830810724206
999,TabDDPM,augmented,0.5,0.4206939610510374,0.058823529411764705,0.012774429787695276
999,TabDDPM,augmented,1.0,0.48061850739924006,0.0,0.009468762324103534
